State,County,Year,Population
North Carolina,Mitchell County,2010,14643
North Carolina,Mitchell County,2011,14672
North Carolina,Swain County,2009,14687
North Carolina,Mitchell County,2012,14701
North Carolina,Mitchell County,2013,14730
North Carolina,Swain County,2008,14739
North Carolina,Mitchell County,2014,14759
North Carolina,Mitchell County,2015,14788
North Carolina,Swain County,2007,14791
North Carolina,Mitchell County,2016,14817
North Carolina,Swain County,2006,14843
North Carolina,Mitchell County,2017,14846
North Carolina,Mitchell County,2018,14875
North Carolina,Swain County,2005,14895
North Carolina,Mitchell County,2020,14898
North Carolina,Mitchell County,2019,14904
North Carolina,Mitchell County,2021,14977
North Carolina,Mitchell County,2023,15003
North Carolina,Mitchell County,2024,15030
North Carolina,Mitchell County,2022,15051
North Carolina,Currituck County,2006,15154
North Carolina,Currituck County,2007,16120
North Carolina,Polk County,2005,16147
North Carolina,Polk County,2006,16367
North Carolina,Northampton County,2024,16580
North Carolina,Polk County,2007,16587
North Carolina,Northampton County,2023,16705
North Carolina,Northampton County,2022,16806
North Carolina,Polk County,2008,16807
North Carolina,Yancey County,2005,16813
North Carolina,Yancey County,2006,16930
North Carolina,Bertie County,2024,16939
North Carolina,Bertie County,2022,16947
North Carolina,Bertie County,2023,17013
North Carolina,Polk County,2009,17027
North Carolina,Yancey County,2007,17046
North Carolina,Currituck County,2008,17085
North Carolina,Northampton County,2021,17125
North Carolina,Yancey County,2008,17163
North Carolina,Bertie County,2021,17234
North Carolina,Polk County,2010,17247
North Carolina,Warren County,2005,17280
North Carolina,Yancey County,2009,17280
North Carolina,Avery County,2005,17353
North Carolina,Warren County,2006,17369
North Carolina,Avery County,2006,17372
North Carolina,Avery County,2007,17391
North Carolina,Yancey County,2010,17396
North Carolina,Avery County,2008,17410
North Carolina,Avery County,2009,17429
North Carolina,Northampton County,2020,17439
North Carolina,Avery County,2010,17449
North Carolina,Warren County,2007,17458
North Carolina,Polk County,2011,17467
North Carolina,Avery County,2011,17468
North Carolina,Avery County,2012,17487
North Carolina,Avery County,2013,17506
North Carolina,Avery County,2021,17511
North Carolina,Yancey County,2011,17513
North Carolina,Avery County,2014,17525
North Carolina,Avery County,2015,17545
North Carolina,Warren County,2008,17547
North Carolina,Avery County,2022,17550
North Carolina,Avery County,2016,17564
North Carolina,Northampton County,2019,17572
North Carolina,Avery County,2017,17583
North Carolina,Avery County,2018,17602
North Carolina,Avery County,2019,17621
North Carolina,Yancey County,2012,17630
North Carolina,Warren County,2009,17636
North Carolina,Polk County,2012,17688
North Carolina,Bertie County,2019,17703
North Carolina,Avery County,2023,17711
North Carolina,Bertie County,2020,17717
North Carolina,Warren County,2010,17725
North Carolina,Yancey County,2013,17746
North Carolina,Madison County,2005,17759
North Carolina,Northampton County,2018,17786
North Carolina,Avery County,2024,17811
North Carolina,Warren County,2011,17814
North Carolina,Avery County,2020,17815
North Carolina,Yancey County,2014,17863
North Carolina,Bertie County,2018,17880
North Carolina,Warren County,2012,17904
North Carolina,Polk County,2013,17908
North Carolina,Yancey County,2015,17980
North Carolina,Warren County,2013,17993
North Carolina,Northampton County,2017,18000
North Carolina,Madison County,2006,18001
North Carolina,Currituck County,2009,18050
North Carolina,Bertie County,2017,18058
North Carolina,Warren County,2014,18082
North Carolina,Yancey County,2016,18097
North Carolina,Polk County,2014,18128
North Carolina,Warren County,2015,18171
North Carolina,Northampton County,2016,18213
North Carolina,Yancey County,2017,18213
North Carolina,Bertie County,2016,18236
North Carolina,Madison County,2007,18243
North Carolina,Warren County,2016,18260
North Carolina,Yancey County,2018,18330
North Carolina,Polk County,2015,18348
North Carolina,Warren County,2017,18349
North Carolina,Bertie County,2015,18413
North Carolina,Northampton County,2015,18427
North Carolina,Warren County,2018,18438
North Carolina,Yancey County,2019,18447
North Carolina,Madison County,2008,18484
North Carolina,Yancey County,2020,18496
North Carolina,Warren County,2019,18527
North Carolina,Polk County,2016,18568
North Carolina,Bertie County,2014,18591
North Carolina,Warren County,2020,18601
North Carolina,Northampton County,2014,18641
North Carolina,Warren County,2022,18700
North Carolina,Madison County,2009,18726
North Carolina,Warren County,2023,18762
North Carolina,Yancey County,2021,18767
North Carolina,Bertie County,2013,18769
North Carolina,Polk County,2017,18788
North Carolina,Yancey County,2022,18790
North Carolina,Warren County,2021,18831
North Carolina,Northampton County,2013,18855
North Carolina,Yancey County,2023,18940
North Carolina,Bertie County,2012,18947
North Carolina,Madison County,2010,18967
North Carolina,Yancey County,2024,18993
North Carolina,Polk County,2018,19008
North Carolina,Currituck County,2010,19016
North Carolina,Greene County,2005,19046
North Carolina,Northampton County,2012,19069
North Carolina,Warren County,2024,19081
North Carolina,Bertie County,2011,19124
North Carolina,Greene County,2006,19131
North Carolina,Hertford County,2024,19169
North Carolina,Madison County,2011,19209
North Carolina,Greene County,2007,19215
North Carolina,Polk County,2019,19228
North Carolina,Hertford County,2023,19234
North Carolina,Northampton County,2011,19282
North Carolina,Greene County,2008,19300
North Carolina,Bertie County,2010,19302
North Carolina,Polk County,2020,19380
North Carolina,Greene County,2009,19385
North Carolina,Madison County,2012,19451
North Carolina,Greene County,2010,19469
North Carolina,Bertie County,2009,19480
North Carolina,Northampton County,2010,19496
North Carolina,Hertford County,2022,19525
North Carolina,Greene County,2011,19554
North Carolina,Greene County,2012,19639
North Carolina,Bertie County,2008,19657
North Carolina,Madison County,2013,19692
North Carolina,Polk County,2021,19709
North Carolina,Northampton County,2009,19710
North Carolina,Greene County,2013,19723
North Carolina,Greene County,2014,19808
North Carolina,Hertford County,2021,19826
North Carolina,Bertie County,2007,19835
North Carolina,Greene County,2015,19893
North Carolina,Northampton County,2008,19924
North Carolina,Madison County,2014,19934
North Carolina,Greene County,2016,19978
North Carolina,Currituck County,2011,19981
North Carolina,Polk County,2022,20006
North Carolina,Bertie County,2006,20013
North Carolina,Polk County,2023,20030
North Carolina,Greene County,2017,20062
North Carolina,Northampton County,2007,20138
North Carolina,Greene County,2018,20147
North Carolina,Madison County,2015,20175
North Carolina,Bertie County,2005,20190
North Carolina,Greene County,2019,20232
North Carolina,Greene County,2021,20263
North Carolina,Polk County,2024,20320
North Carolina,Northampton County,2006,20351
North Carolina,Greene County,2022,20415
North Carolina,Madison County,2016,20417
North Carolina,Greene County,2020,20438
North Carolina,Northampton County,2005,20565
North Carolina,Greene County,2023,20644
North Carolina,Madison County,2017,20659
North Carolina,Greene County,2024,20671
North Carolina,Anson County,2005,20712
North Carolina,Anson County,2006,20805
North Carolina,Anson County,2007,20898
North Carolina,Madison County,2018,20900
North Carolina,Currituck County,2012,20947
North Carolina,Anson County,2008,20990
North Carolina,Anson County,2009,21083
North Carolina,Madison County,2019,21142
North Carolina,Anson County,2010,21176
North Carolina,Anson County,2011,21268
North Carolina,Madison County,2020,21295
North Carolina,Anson County,2012,21361
North Carolina,Anson County,2013,21454
North Carolina,Martin County,2023,21484
North Carolina,Martin County,2022,21502
North Carolina,Martin County,2024,21523
North Carolina,Anson County,2014,21547
North Carolina,Anson County,2015,21639
North Carolina,Hertford County,2019,21656
North Carolina,Anson County,2016,21732
North Carolina,Madison County,2021,21737
North Carolina,Martin County,2021,21752
North Carolina,Hertford County,2020,21787
North Carolina,Anson County,2017,21825
North Carolina,Currituck County,2013,21912
North Carolina,Madison County,2022,21912
North Carolina,Anson County,2018,21917
North Carolina,Martin County,2020,21959
North Carolina,Martin County,2019,21986
North Carolina,Anson County,2019,22010
North Carolina,Anson County,2020,22034
North Carolina,Madison County,2023,22039
North Carolina,Martin County,2018,22100
North Carolina,Martin County,2017,22214
North Carolina,Caswell County,2022,22219
North Carolina,Hertford County,2018,22239
North Carolina,Anson County,2021,22250
North Carolina,Martin County,2016,22328
North Carolina,Anson County,2022,22346
North Carolina,Madison County,2024,22352
North Carolina,Caswell County,2024,22363
North Carolina,Anson County,2023,22381
North Carolina,Anson County,2024,22432
North Carolina,Martin County,2015,22442
North Carolina,Caswell County,2019,22472
North Carolina,Caswell County,2020,22473
North Carolina,Caswell County,2023,22479
North Carolina,Caswell County,2021,22487
North Carolina,Caswell County,2018,22495
North Carolina,Caswell County,2017,22518
North Carolina,Caswell County,2016,22541
North Carolina,Martin County,2014,22556
North Carolina,Caswell County,2015,22563
North Carolina,Caswell County,2014,22586
North Carolina,Caswell County,2013,22609
North Carolina,Caswell County,2012,22632
North Carolina,Caswell County,2011,22655
North Carolina,Martin County,2013,22670
North Carolina,Caswell County,2010,22677
North Carolina,Caswell County,2009,22700
North Carolina,Caswell County,2008,22723
North Carolina,Caswell County,2007,22746
North Carolina,Caswell County,2006,22769
North Carolina,Martin County,2012,22784
North Carolina,Caswell County,2005,22791
North Carolina,Hertford County,2017,22822
North Carolina,Currituck County,2014,22877
North Carolina,Martin County,2011,22898
North Carolina,Martin County,2010,23012
North Carolina,Montgomery County,2005,23111
North Carolina,Martin County,2009,23126
North Carolina,Cherokee County,2005,23132
North Carolina,Martin County,2008,23240
North Carolina,Montgomery County,2006,23282
North Carolina,Martin County,2007,23354
North Carolina,Hertford County,2016,23405
North Carolina,Montgomery County,2007,23452
North Carolina,Martin County,2006,23468
North Carolina,Cherokee County,2006,23510
North Carolina,Martin County,2005,23582
North Carolina,Montgomery County,2008,23622
North Carolina,Montgomery County,2009,23793
North Carolina,Currituck County,2015,23843
North Carolina,Cherokee County,2007,23888
North Carolina,Montgomery County,2010,23963
North Carolina,Hertford County,2015,23987
North Carolina,Montgomery County,2011,24133
North Carolina,Ashe County,2005,24138
North Carolina,Cherokee County,2008,24266
North Carolina,Pender County,2005,24297
North Carolina,Ashe County,2006,24304
North Carolina,Montgomery County,2012,24304
North Carolina,Ashe County,2007,24469
North Carolina,Montgomery County,2013,24474
North Carolina,Hertford County,2014,24570
North Carolina,Ashe County,2008,24634
North Carolina,Cherokee County,2009,24644
North Carolina,Montgomery County,2014,24644
North Carolina,Ashe County,2009,24800
North Carolina,Currituck County,2016,24808
North Carolina,Montgomery County,2015,24814
North Carolina,Ashe County,2010,24965
North Carolina,Montgomery County,2016,24985
North Carolina,Cherokee County,2010,25023
North Carolina,Ashe County,2011,25131
North Carolina,Hertford County,2013,25153
North Carolina,Montgomery County,2017,25155
North Carolina,Ashe County,2012,25296
North Carolina,Montgomery County,2018,25325
North Carolina,Cherokee County,2011,25401
North Carolina,Ashe County,2013,25461
North Carolina,Montgomery County,2019,25496
North Carolina,Ashe County,2014,25627
North Carolina,Montgomery County,2020,25720
North Carolina,Hertford County,2012,25736
North Carolina,Currituck County,2017,25774
North Carolina,Cherokee County,2012,25779
North Carolina,Ashe County,2015,25792
North Carolina,Montgomery County,2021,25826
North Carolina,Montgomery County,2022,25884
North Carolina,Ashe County,2016,25958
North Carolina,Ashe County,2017,26123
North Carolina,Cherokee County,2013,26157
North Carolina,Montgomery County,2023,26241
North Carolina,Ashe County,2018,26288
North Carolina,Hertford County,2011,26319
North Carolina,Montgomery County,2024,26364
North Carolina,Ashe County,2019,26454
North Carolina,Cherokee County,2014,26535
North Carolina,Ashe County,2020,26590
North Carolina,Pender County,2006,26724
North Carolina,Currituck County,2018,26739
North Carolina,Ashe County,2021,26766
North Carolina,Hertford County,2010,26901
North Carolina,Cherokee County,2015,26914
North Carolina,Ashe County,2022,27062
North Carolina,Ashe County,2023,27068
North Carolina,Ashe County,2024,27266
North Carolina,Cherokee County,2016,27292
North Carolina,Hertford County,2009,27484
North Carolina,Cherokee County,2017,27670
North Carolina,Currituck County,2019,27704
North Carolina,Cherokee County,2018,28048
North Carolina,Hertford County,2008,28067
North Carolina,Currituck County,2020,28404
North Carolina,Cherokee County,2019,28426
North Carolina,Hertford County,2007,28650
North Carolina,Brunswick County,2005,28678
North Carolina,Franklin County,2005,28713
North Carolina,Jackson County,2005,28773
North Carolina,Cherokee County,2020,28864
North Carolina,Bladen County,2005,29145
North Carolina,Pender County,2007,29150
North Carolina,Bladen County,2006,29170
North Carolina,Cherokee County,2021,29188
North Carolina,Bladen County,2007,29195
North Carolina,Bladen County,2008,29219
North Carolina,Hertford County,2006,29233
North Carolina,Bladen County,2009,29244
North Carolina,Bladen County,2010,29269
North Carolina,Bladen County,2011,29294
North Carolina,Bladen County,2012,29318
North Carolina,Bladen County,2013,29343
North Carolina,Bladen County,2022,29365
North Carolina,Bladen County,2014,29368
North Carolina,Bladen County,2015,29392
North Carolina,Bladen County,2016,29417
North Carolina,Cherokee County,2022,29431
North Carolina,Bladen County,2017,29442
North Carolina,Bladen County,2018,29466
North Carolina,Bladen County,2019,29491
North Carolina,Bladen County,2023,29505
North Carolina,Bladen County,2021,29552
North Carolina,Bladen County,2020,29630
North Carolina,Jackson County,2006,29655
North Carolina,Currituck County,2021,29703
North Carolina,Bladen County,2024,29777
North Carolina,Hertford County,2005,29815
North Carolina,Cherokee County,2023,29952
North Carolina,Transylvania County,2005,30070
North Carolina,Transylvania County,2006,30283
North Carolina,Cherokee County,2024,30373
North Carolina,Transylvania County,2007,30496
North Carolina,Jackson County,2007,30538
North Carolina,Transylvania County,2008,30709
North Carolina,Macon County,2005,30785
North Carolina,Transylvania County,2009,30922
North Carolina,Currituck County,2022,31011
North Carolina,Transylvania County,2010,31135
North Carolina,Macon County,2006,31206
North Carolina,Transylvania County,2011,31348
North Carolina,Franklin County,2006,31400
North Carolina,Jackson County,2008,31420
North Carolina,Scotland County,2005,31561
North Carolina,Transylvania County,2012,31561
North Carolina,Pender County,2008,31577
North Carolina,Currituck County,2023,31609
North Carolina,Macon County,2007,31627
North Carolina,Scotland County,2006,31680
North Carolina,Transylvania County,2013,31774
North Carolina,Scotland County,2007,31800
North Carolina,Scotland County,2008,31919
North Carolina,Transylvania County,2014,31987
North Carolina,Scotland County,2009,32038
North Carolina,Macon County,2008,32048
North Carolina,Scotland County,2010,32158
North Carolina,Transylvania County,2015,32200
North Carolina,Scotland County,2011,32277
North Carolina,Currituck County,2024,32278
North Carolina,Jackson County,2009,32302
North Carolina,Scotland County,2012,32396
North Carolina,Transylvania County,2016,32413
North Carolina,Macon County,2009,32468
North Carolina,Scotland County,2013,32516
North Carolina,Transylvania County,2017,32626
North Carolina,Scotland County,2014,32635
North Carolina,Scotland County,2015,32754
North Carolina,Transylvania County,2018,32839
North Carolina,Scotland County,2016,32873
North Carolina,Macon County,2010,32889
North Carolina,Scotland County,2017,32993
North Carolina,Transylvania County,2019,33052
North Carolina,Scotland County,2018,33112
North Carolina,Jackson County,2010,33184
North Carolina,Scotland County,2019,33231
North Carolina,Transylvania County,2020,33258
North Carolina,Macon County,2011,33310
North Carolina,Scotland County,2020,33420
North Carolina,Scotland County,2021,33423
North Carolina,Transylvania County,2021,33494
North Carolina,Dare County,2005,33544
North Carolina,Scotland County,2022,33548
North Carolina,Scotland County,2023,33660
North Carolina,Transylvania County,2022,33668
North Carolina,Macon County,2012,33731
North Carolina,Dare County,2006,33799
North Carolina,Scotland County,2024,33898
North Carolina,Transylvania County,2023,33934
North Carolina,Pender County,2009,34003
North Carolina,Dare County,2007,34054
North Carolina,Davie County,2005,34056
North Carolina,Jackson County,2011,34066
North Carolina,Franklin County,2007,34086
North Carolina,Transylvania County,2024,34103
North Carolina,Macon County,2013,34152
North Carolina,Yadkin County,2005,34169
North Carolina,Dare County,2008,34308
North Carolina,Yadkin County,2006,34369
North Carolina,Dare County,2009,34563
North Carolina,Yadkin County,2007,34570
North Carolina,Macon County,2014,34573
North Carolina,Davie County,2006,34648
North Carolina,Yadkin County,2008,34770
North Carolina,Dare County,2010,34818
North Carolina,Jackson County,2012,34949
North Carolina,Yadkin County,2009,34970
North Carolina,Macon County,2015,34994
North Carolina,Dare County,2011,35072
North Carolina,Person County,2005,35131
North Carolina,Yadkin County,2010,35170
North Carolina,Alexander County,2005,35220
North Carolina,Davie County,2007,35240
North Carolina,Alexander County,2006,35290
North Carolina,Dare County,2012,35327
North Carolina,Alexander County,2007,35360
North Carolina,Yadkin County,2011,35370
North Carolina,Person County,2006,35391
North Carolina,Macon County,2016,35415
North Carolina,Alexander County,2008,35430
North Carolina,Alexander County,2009,35500
North Carolina,Alexander County,2010,35570
North Carolina,Yadkin County,2012,35571
North Carolina,Dare County,2013,35582
North Carolina,Alexander County,2011,35640
North Carolina,Person County,2007,35650
North Carolina,Alexander County,2012,35710
North Carolina,Pasquotank County,2005,35747
North Carolina,Yadkin County,2013,35771
North Carolina,Alexander County,2013,35780
North Carolina,Jackson County,2013,35831
North Carolina,Davie County,2008,35832
North Carolina,Macon County,2017,35836
North Carolina,Dare County,2014,35837
North Carolina,Alexander County,2014,35851
North Carolina,Person County,2008,35910
North Carolina,Alexander County,2015,35921
North Carolina,Brunswick County,2006,35966
North Carolina,Yadkin County,2014,35971
North Carolina,Alexander County,2016,35991
North Carolina,Pasquotank County,2006,36046
North Carolina,Alexander County,2017,36061
North Carolina,Dare County,2015,36091
North Carolina,Alexander County,2018,36131
North Carolina,Person County,2009,36169
North Carolina,Yadkin County,2015,36171
North Carolina,Alexander County,2019,36201
North Carolina,Alexander County,2022,36237
North Carolina,Macon County,2018,36257
North Carolina,Alexander County,2021,36292
North Carolina,Dare County,2016,36346
North Carolina,Pasquotank County,2007,36346
North Carolina,Yadkin County,2016,36371
North Carolina,Alexander County,2020,36410
North Carolina,Davie County,2009,36424
North Carolina,Alexander County,2023,36427
North Carolina,Person County,2010,36428
North Carolina,Pender County,2010,36430
North Carolina,Yadkin County,2017,36572
North Carolina,Dare County,2017,36601
North Carolina,Pasquotank County,2008,36645
North Carolina,Macon County,2019,36677
North Carolina,Person County,2011,36688
North Carolina,Alexander County,2024,36693
North Carolina,Jackson County,2014,36713
North Carolina,Yadkin County,2018,36772
North Carolina,Franklin County,2008,36773
North Carolina,Dare County,2018,36855
North Carolina,Pasquotank County,2009,36944
North Carolina,Person County,2012,36947
North Carolina,Yadkin County,2019,36972
North Carolina,Davie County,2010,37016
North Carolina,Dare County,2020,37038
North Carolina,Macon County,2020,37095
North Carolina,Dare County,2019,37110
North Carolina,Person County,2013,37207
North Carolina,Pasquotank County,2010,37243
North Carolina,Yadkin County,2020,37253
North Carolina,Yadkin County,2021,37280
North Carolina,Macon County,2021,37465
North Carolina,Person County,2014,37466
North Carolina,Yadkin County,2022,37539
North Carolina,Pasquotank County,2011,37542
North Carolina,Jackson County,2015,37595
North Carolina,Davie County,2011,37608
North Carolina,Person County,2015,37725
North Carolina,Yadkin County,2023,37798
North Carolina,Pasquotank County,2012,37842
North Carolina,Dare County,2021,37924
North Carolina,Person County,2016,37985
North Carolina,Yadkin County,2024,37995
