State,County,Year,Median_Household_Income
North Carolina,Alleghany,2024,67469.11
North Carolina,Anson,2005,45737.34
North Carolina,Anson,2006,47322.59
North Carolina,Anson,2007,48340.37
North Carolina,Anson,2008,49042.14
North Carolina,Anson,2009,50471.98
North Carolina,Anson,2010,51553.95
North Carolina,Anson,2011,52417.59
North Carolina,Anson,2012,53636.28
North Carolina,Anson,2013,55987.19
North Carolina,Anson,2014,57283.79
North Carolina,Anson,2015,57857.88
North Carolina,Anson,2016,59454.95
North Carolina,Anson,2017,60827.8
North Carolina,Anson,2018,61857.79
North Carolina,Anson,2019,62630.22
North Carolina,Anson,2020,63756.46
North Carolina,Anson,2021,65178.41
North Carolina,Anson,2022,66567.29
North Carolina,Anson,2023,68284.02
North Carolina,Anson,2024,68915.5
North Carolina,Ashe,2005,48232.64
North Carolina,Ashe,2006,49202.9
North Carolina,Ashe,2007,50796.31
North Carolina,Ashe,2008,52436.17
North Carolina,Ashe,2009,53391.65
North Carolina,Ashe,2010,54966.84
North Carolina,Ashe,2011,55701.03
North Carolina,Ashe,2012,56303.11
North Carolina,Ashe,2013,56684.59
North Carolina,Ashe,2014,57197.78
North Carolina,Ashe,2015,58402.7
North Carolina,Ashe,2016,60001.51
North Carolina,Ashe,2017,61051.11
North Carolina,Ashe,2018,61906.05
North Carolina,Ashe,2019,63380.77
North Carolina,Ashe,2020,64550.79
North Carolina,Ashe,2021,65541.36
North Carolina,Ashe,2022,66455.68
North Carolina,Ashe,2023,68076.1
North Carolina,Ashe,2024,69342.38
North Carolina,Avery,2005,56703.25
North Carolina,Avery,2006,57454.73
North Carolina,Avery,2007,58017.05
North Carolina,Avery,2008,59002.48
North Carolina,Avery,2009,60296.99
North Carolina,Avery,2010,61452.19
North Carolina,Avery,2011,62500.97
North Carolina,Avery,2012,63931.75
North Carolina,Avery,2013,65171.5
North Carolina,Avery,2014,66142.5
North Carolina,Avery,2015,67901.98
North Carolina,Avery,2016,68709.4
North Carolina,Avery,2017,70134.86
North Carolina,Avery,2018,71538.77
North Carolina,Avery,2019,72792.17
North Carolina,Avery,2020,73172.38
North Carolina,Avery,2021,73065.21
North Carolina,Avery,2022,73843.01
North Carolina,Avery,2023,74606.85
North Carolina,Avery,2024,75766.1
North Carolina,Beaufort,2005,44482.93
North Carolina,Beaufort,2006,45064.17
North Carolina,Beaufort,2007,45341.5
North Carolina,Beaufort,2008,46255.76
North Carolina,Beaufort,2009,47438.03
North Carolina,Beaufort,2010,48470.96
North Carolina,Beaufort,2011,49211.16
North Carolina,Beaufort,2012,50070.61
North Carolina,Beaufort,2013,50917.9
North Carolina,Beaufort,2014,52147.68
North Carolina,Beaufort,2015,52931.01
North Carolina,Beaufort,2016,54388.29
North Carolina,Beaufort,2017,55083.37
North Carolina,Beaufort,2018,56470.65
North Carolina,Beaufort,2019,57787.36
North Carolina,Beaufort,2020,58792.93
North Carolina,Beaufort,2021,60511.02
North Carolina,Beaufort,2022,61876.96
North Carolina,Beaufort,2023,62705.22
North Carolina,Beaufort,2024,63333.59
North Carolina,Bertie,2005,42642.44
North Carolina,Bertie,2006,44216.87
North Carolina,Bertie,2007,45515.55
North Carolina,Bertie,2008,45569.25
North Carolina,Bertie,2009,47205.83
North Carolina,Bertie,2010,48646.49
North Carolina,Bertie,2011,49596.36
North Carolina,Bertie,2012,51144.0
North Carolina,Bertie,2013,52241.61
North Carolina,Bertie,2014,53328.28
North Carolina,Bertie,2015,53704.98
North Carolina,Bertie,2016,54921.77
North Carolina,Bertie,2017,55516.51
North Carolina,Bertie,2018,55979.78
North Carolina,Bertie,2019,56868.85
North Carolina,Bertie,2020,57136.91
North Carolina,Bertie,2021,57679.47
North Carolina,Bertie,2022,59228.91
North Carolina,Bertie,2023,59759.64
North Carolina,Bertie,2024,60496.99
North Carolina,Bladen,2005,59218.43
North Carolina,Bladen,2006,60342.64
North Carolina,Bladen,2007,61352.27
North Carolina,Bladen,2008,61797.2
North Carolina,Bladen,2009,62326.17
North Carolina,Bladen,2010,63153.27
North Carolina,Bladen,2011,64384.23
North Carolina,Bladen,2012,65759.35
North Carolina,Bladen,2013,67043.09
North Carolina,Bladen,2014,68085.52
North Carolina,Bladen,2015,69679.9
North Carolina,Bladen,2016,70921.36
North Carolina,Bladen,2017,71998.29
North Carolina,Bladen,2018,73803.78
North Carolina,Bladen,2019,74708.19
North Carolina,Bladen,2020,75927.24
North Carolina,Bladen,2021,77735.08
North Carolina,Bladen,2022,79057.02
North Carolina,Bladen,2023,80035.35
North Carolina,Bladen,2024,80286.55
North Carolina,Brunswick,2005,57675.6
North Carolina,Brunswick,2006,58367.64
North Carolina,Brunswick,2007,59586.76
North Carolina,Brunswick,2008,61100.14
North Carolina,Brunswick,2009,62923.18
North Carolina,Brunswick,2010,63577.9
North Carolina,Brunswick,2011,64353.3
North Carolina,Brunswick,2012,65968.56
North Carolina,Brunswick,2013,67150.39
North Carolina,Brunswick,2014,68714.44
North Carolina,Brunswick,2015,71005.03
North Carolina,Brunswick,2016,72254.19
North Carolina,Brunswick,2017,73557.95
North Carolina,Brunswick,2018,74029.55
North Carolina,Brunswick,2019,75032.37
North Carolina,Brunswick,2020,76849.44
North Carolina,Brunswick,2021,77890.97
North Carolina,Brunswick,2022,79867.18
North Carolina,Brunswick,2023,81346.08
North Carolina,Brunswick,2024,82321.3
North Carolina,Buncombe,2005,54070.12
North Carolina,Buncombe,2006,56638.45
North Carolina,Buncombe,2007,56429.26
North Carolina,Buncombe,2008,57516.28
North Carolina,Buncombe,2009,58019.02
North Carolina,Buncombe,2010,59197.28
North Carolina,Buncombe,2011,59713.63
North Carolina,Buncombe,2012,60908.33
North Carolina,Buncombe,2013,62141.38
North Carolina,Buncombe,2014,62575.38
North Carolina,Buncombe,2015,64053.7
North Carolina,Buncombe,2016,65388.95
North Carolina,Buncombe,2017,66441.61
North Carolina,Buncombe,2018,67025.31
North Carolina,Buncombe,2019,68593.35
North Carolina,Buncombe,2020,70272.75
North Carolina,Buncombe,2021,71187.67
North Carolina,Buncombe,2022,72047.51
North Carolina,Buncombe,2023,73229.72
North Carolina,Buncombe,2024,74475.93
North Carolina,Burke,2005,57301.54
North Carolina,Burke,2006,57622.1
North Carolina,Burke,2007,59151.7
North Carolina,Burke,2008,59638.08
North Carolina,Burke,2009,60290.93
North Carolina,Burke,2010,60542.23
North Carolina,Burke,2011,62398.67
North Carolina,Burke,2012,63608.51
North Carolina,Burke,2013,65008.07
North Carolina,Burke,2014,65981.01
North Carolina,Burke,2015,66893.32
North Carolina,Burke,2016,67875.76
North Carolina,Burke,2017,69254.27
North Carolina,Burke,2018,70738.65
North Carolina,Burke,2019,71212.1
North Carolina,Burke,2020,72760.8
North Carolina,Burke,2021,73538.93
North Carolina,Burke,2022,73845.2
North Carolina,Burke,2023,75686.82
North Carolina,Burke,2024,76904.29
North Carolina,Cabarrus,2005,59989.98
North Carolina,Cabarrus,2006,60547.62
North Carolina,Cabarrus,2007,62078.67
North Carolina,Cabarrus,2008,62422.15
North Carolina,Cabarrus,2009,63627.83
North Carolina,Cabarrus,2010,64236.85
North Carolina,Cabarrus,2011,64396.32
North Carolina,Cabarrus,2012,64861.42
North Carolina,Cabarrus,2013,64891.8
North Carolina,Cabarrus,2014,65604.43
North Carolina,Cabarrus,2015,67123.17
North Carolina,Cabarrus,2016,67903.34
North Carolina,Cabarrus,2017,69230.86
North Carolina,Cabarrus,2018,69951.39
North Carolina,Cabarrus,2019,71347.02
North Carolina,Cabarrus,2020,72498.52
North Carolina,Cabarrus,2021,75146.79
North Carolina,Cabarrus,2022,77316.92
North Carolina,Cabarrus,2023,78448.6
North Carolina,Cabarrus,2024,79199.12
North Carolina,Caldwell,2005,56958.79
North Carolina,Caldwell,2006,57418.36
North Carolina,Caldwell,2007,57696.28
North Carolina,Caldwell,2008,59391.02
North Carolina,Caldwell,2009,60119.72
North Carolina,Caldwell,2010,60799.85
North Carolina,Caldwell,2011,62573.55
North Carolina,Caldwell,2012,63432.6
North Carolina,Caldwell,2013,64688.03
North Carolina,Caldwell,2014,65623.08
North Carolina,Caldwell,2015,67355.36
North Carolina,Caldwell,2016,67711.88
North Carolina,Caldwell,2017,68807.59
North Carolina,Caldwell,2018,69731.32
North Carolina,Caldwell,2019,70187.11
North Carolina,Caldwell,2020,70630.33
North Carolina,Caldwell,2021,71594.33
North Carolina,Caldwell,2022,72169.37
North Carolina,Caldwell,2023,72482.12
North Carolina,Caldwell,2024,73427.65
North Carolina,Camden,2005,53226.12
North Carolina,Camden,2006,54453.66
North Carolina,Camden,2007,54777.36
North Carolina,Camden,2008,56105.3
North Carolina,Camden,2009,56859.98
North Carolina,Camden,2010,58031.08
North Carolina,Camden,2011,58754.24
North Carolina,Camden,2012,59357.49
North Carolina,Camden,2013,59380.6
North Carolina,Camden,2014,59959.77
North Carolina,Camden,2015,60561.52
North Carolina,Camden,2016,61337.95
North Carolina,Camden,2017,62309.37
North Carolina,Camden,2018,62839.94
North Carolina,Camden,2019,63330.86
North Carolina,Camden,2020,64612.64
North Carolina,Camden,2021,65537.62
North Carolina,Camden,2022,66642.55
North Carolina,Camden,2023,68167.66
North Carolina,Camden,2024,69874.89
North Carolina,Carteret,2005,46796.51
North Carolina,Carteret,2006,47963.59
North Carolina,Carteret,2007,49692.64
North Carolina,Carteret,2008,50516.53
North Carolina,Carteret,2009,51993.76
North Carolina,Carteret,2010,53115.87
North Carolina,Carteret,2011,54311.0
North Carolina,Carteret,2012,55336.78
North Carolina,Carteret,2013,56845.22
North Carolina,Carteret,2014,58101.92
North Carolina,Carteret,2015,58636.12
North Carolina,Carteret,2016,59214.57
North Carolina,Carteret,2017,61302.82
North Carolina,Carteret,2018,61913.06
North Carolina,Carteret,2019,62105.29
North Carolina,Carteret,2020,63797.0
North Carolina,Carteret,2021,63757.07
North Carolina,Carteret,2022,64412.18
North Carolina,Carteret,2023,65650.19
North Carolina,Carteret,2024,66203.95
North Carolina,Caswell,2005,60755.75
North Carolina,Caswell,2006,61464.27
North Carolina,Caswell,2007,62415.66
North Carolina,Caswell,2008,63054.91
North Carolina,Caswell,2009,63774.7
North Carolina,Caswell,2010,65626.36
North Carolina,Caswell,2011,65677.46
North Carolina,Caswell,2012,66220.74
North Carolina,Caswell,2013,67669.06
North Carolina,Caswell,2014,68550.33
North Carolina,Caswell,2015,68771.69
North Carolina,Caswell,2016,69963.94
North Carolina,Caswell,2017,70531.26
North Carolina,Caswell,2018,71693.05
North Carolina,Caswell,2019,72540.32
North Carolina,Caswell,2020,73562.17
North Carolina,Caswell,2021,75115.97
North Carolina,Caswell,2022,76267.71
North Carolina,Caswell,2023,77292.69
North Carolina,Caswell,2024,78700.95
North Carolina,Catawba,2005,55911.41
North Carolina,Catawba,2006,57195.54
North Carolina,Catawba,2007,57283.35
North Carolina,Catawba,2008,59006.84
North Carolina,Catawba,2009,58634.67
North Carolina,Catawba,2010,58993.01
North Carolina,Catawba,2011,59572.58
North Carolina,Catawba,2012,59535.86
North Carolina,Catawba,2013,60287.11
North Carolina,Catawba,2014,61047.93
North Carolina,Catawba,2015,62085.69
North Carolina,Catawba,2016,63167.32
North Carolina,Catawba,2017,64849.4
North Carolina,Catawba,2018,65585.86
North Carolina,Catawba,2019,67213.85
North Carolina,Catawba,2020,69414.54
North Carolina,Catawba,2021,70616.7
North Carolina,Catawba,2022,70757.07
North Carolina,Catawba,2023,71952.19
North Carolina,Catawba,2024,72374.6
North Carolina,Chatham,2005,43675.81
North Carolina,Chatham,2006,44618.48
North Carolina,Chatham,2007,45145.67
North Carolina,Chatham,2008,46712.56
North Carolina,Chatham,2009,47197.86
North Carolina,Chatham,2010,48261.89
North Carolina,Chatham,2011,49114.36
North Carolina,Chatham,2012,50044.57
North Carolina,Chatham,2013,50071.97
North Carolina,Chatham,2014,51429.04
North Carolina,Chatham,2015,52445.47
North Carolina,Chatham,2016,53823.99
North Carolina,Chatham,2017,54921.14
North Carolina,Chatham,2018,56003.64
North Carolina,Chatham,2019,57230.3
North Carolina,Chatham,2020,58200.14
North Carolina,Chatham,2021,58915.4
North Carolina,Chatham,2022,59740.6
North Carolina,Chatham,2023,60537.62
North Carolina,Chatham,2024,61614.81
North Carolina,Cherokee,2005,55303.93
North Carolina,Cherokee,2006,56137.24
North Carolina,Cherokee,2007,57659.15
North Carolina,Cherokee,2008,58785.03
North Carolina,Cherokee,2009,59638.76
North Carolina,Cherokee,2010,60915.63
North Carolina,Cherokee,2011,62668.73
North Carolina,Cherokee,2012,63513.56
North Carolina,Cherokee,2013,64516.58
North Carolina,Cherokee,2014,66491.06
North Carolina,Cherokee,2015,68415.28
North Carolina,Cherokee,2016,69356.65
North Carolina,Cherokee,2017,70714.2
North Carolina,Cherokee,2018,72366.72
North Carolina,Cherokee,2019,73949.49
North Carolina,Cherokee,2020,74677.37
North Carolina,Cherokee,2021,75666.85
North Carolina,Cherokee,2022,76627.23
North Carolina,Cherokee,2023,77405.37
North Carolina,Cherokee,2024,78967.62
North Carolina,Chowan,2005,49451.13
North Carolina,Chowan,2006,49969.61
North Carolina,Chowan,2007,51226.9
North Carolina,Chowan,2008,51535.64
North Carolina,Chowan,2009,52215.3
North Carolina,Chowan,2010,53354.91
North Carolina,Chowan,2011,54093.25
North Carolina,Chowan,2012,54205.1
North Carolina,Chowan,2013,55244.96
North Carolina,Chowan,2014,56394.61
North Carolina,Chowan,2015,57024.77
North Carolina,Chowan,2016,58375.16
North Carolina,Chowan,2017,59087.69
North Carolina,Chowan,2018,59741.18
North Carolina,Chowan,2019,60043.27
North Carolina,Chowan,2020,61210.15
North Carolina,Chowan,2021,63215.0
North Carolina,Chowan,2022,64281.1
North Carolina,Chowan,2023,65050.97
North Carolina,Chowan,2024,66629.47
North Carolina,Clay,2005,44656.17
North Carolina,Clay,2006,45459.64
North Carolina,Clay,2007,46389.14
North Carolina,Clay,2008,47509.03
North Carolina,Clay,2009,47933.28
North Carolina,Clay,2010,49344.8
North Carolina,Clay,2011,51244.02
North Carolina,Clay,2012,52006.22
North Carolina,Clay,2013,52895.61
North Carolina,Clay,2014,55125.6
North Carolina,Clay,2015,55842.82
North Carolina,Clay,2016,56930.68
North Carolina,Clay,2017,57910.6
North Carolina,Clay,2018,59988.89
North Carolina,Clay,2019,60532.52
North Carolina,Clay,2020,61801.19
North Carolina,Clay,2021,61792.47
North Carolina,Clay,2022,63388.95
North Carolina,Clay,2023,65219.61
North Carolina,Clay,2024,65987.78
North Carolina,Cleveland,2005,58963.91
North Carolina,Cleveland,2006,59666.16
North Carolina,Cleveland,2007,60442.63
North Carolina,Cleveland,2008,61035.26
North Carolina,Cleveland,2009,62183.08
North Carolina,Cleveland,2010,61910.2
North Carolina,Cleveland,2011,63504.53
North Carolina,Cleveland,2012,63172.98
North Carolina,Cleveland,2013,64475.99
North Carolina,Cleveland,2014,64949.11
North Carolina,Cleveland,2015,65379.64
North Carolina,Cleveland,2016,65937.41
North Carolina,Cleveland,2017,67340.33
North Carolina,Cleveland,2018,67799.75
North Carolina,Cleveland,2019,69124.97
North Carolina,Cleveland,2020,70220.67
North Carolina,Cleveland,2021,70999.54
North Carolina,Cleveland,2022,72253.77
North Carolina,Cleveland,2023,72513.59
North Carolina,Cleveland,2024,73787.76
North Carolina,Columbus,2005,55415.04
North Carolina,Columbus,2006,55584.1
North Carolina,Columbus,2007,56893.96
North Carolina,Columbus,2008,58060.35
North Carolina,Columbus,2009,59099.56
North Carolina,Columbus,2010,59786.61
North Carolina,Columbus,2011,60700.67
North Carolina,Columbus,2012,62009.72
North Carolina,Columbus,2013,62534.63
North Carolina,Columbus,2014,64657.63
North Carolina,Columbus,2015,66043.58
North Carolina,Columbus,2016,66744.47
North Carolina,Columbus,2017,67447.61
North Carolina,Columbus,2018,68378.07
North Carolina,Columbus,2019,69825.85
North Carolina,Columbus,2020,70679.91
North Carolina,Columbus,2021,71907.69
North Carolina,Columbus,2022,73297.19
North Carolina,Columbus,2023,74419.95
North Carolina,Columbus,2024,75107.57
North Carolina,Craven,2005,42359.04
North Carolina,Craven,2006,42880.9
North Carolina,Craven,2007,43779.38
North Carolina,Craven,2008,45165.65
North Carolina,Craven,2009,46019.84
North Carolina,Craven,2010,47372.82
North Carolina,Craven,2011,48867.07
North Carolina,Craven,2012,49517.5
North Carolina,Craven,2013,50775.8
North Carolina,Craven,2014,51884.95
North Carolina,Craven,2015,52916.23
North Carolina,Craven,2016,53705.14
North Carolina,Craven,2017,54777.8
North Carolina,Craven,2018,55784.66
North Carolina,Craven,2019,57101.58
North Carolina,Craven,2020,57661.4
North Carolina,Craven,2021,58935.65
North Carolina,Craven,2022,60338.63
North Carolina,Craven,2023,61181.83
North Carolina,Craven,2024,62753.77
North Carolina,Cumberland,2005,42456.22
North Carolina,Cumberland,2006,43994.11
North Carolina,Cumberland,2007,45717.58
North Carolina,Cumberland,2008,46993.59
North Carolina,Cumberland,2009,46840.89
North Carolina,Cumberland,2010,47992.52
North Carolina,Cumberland,2011,50518.83
North Carolina,Cumberland,2012,52043.74
North Carolina,Cumberland,2013,53236.82
North Carolina,Cumberland,2014,53356.37
North Carolina,Cumberland,2015,54261.64
North Carolina,Cumberland,2016,55462.69
North Carolina,Cumberland,2017,56931.45
North Carolina,Cumberland,2018,58631.92
North Carolina,Cumberland,2019,60116.38
North Carolina,Cumberland,2020,61358.79
North Carolina,Cumberland,2021,62770.63
North Carolina,Cumberland,2022,62871.51
North Carolina,Cumberland,2023,64090.81
North Carolina,Cumberland,2024,64861.53
North Carolina,Currituck,2005,47102.96
North Carolina,Currituck,2006,47914.24
North Carolina,Currituck,2007,48349.48
North Carolina,Currituck,2008,49542.93
North Carolina,Currituck,2009,50678.87
North Carolina,Currituck,2010,51887.4
North Carolina,Currituck,2011,53343.06
North Carolina,Currituck,2012,54211.13
North Carolina,Currituck,2013,55324.39
North Carolina,Currituck,2014,55111.56
North Carolina,Currituck,2015,56333.83
North Carolina,Currituck,2016,57385.51
North Carolina,Currituck,2017,58293.16
North Carolina,Currituck,2018,59655.75
North Carolina,Currituck,2019,60718.63
North Carolina,Currituck,2020,61222.05
North Carolina,Currituck,2021,62791.41
North Carolina,Currituck,2022,63833.13
North Carolina,Currituck,2023,64517.55
North Carolina,Currituck,2024,65865.99
North Carolina,Dare,2005,41437.9
North Carolina,Dare,2006,41946.91
North Carolina,Dare,2007,43584.26
North Carolina,Dare,2008,44483.94
North Carolina,Dare,2009,45450.41
North Carolina,Dare,2010,46755.49
North Carolina,Dare,2011,47605.06
North Carolina,Dare,2012,48553.54
North Carolina,Dare,2013,49688.4
North Carolina,Dare,2014,50907.83
North Carolina,Dare,2015,52080.87
North Carolina,Dare,2016,52377.02
North Carolina,Dare,2017,53552.48
North Carolina,Dare,2018,54755.42
North Carolina,Dare,2019,55778.28
North Carolina,Dare,2020,56945.52
North Carolina,Dare,2021,58227.57
North Carolina,Dare,2022,59051.81
North Carolina,Dare,2023,60665.39
North Carolina,Dare,2024,62165.08
North Carolina,Davidson,2005,42181.31
North Carolina,Davidson,2006,43252.74
North Carolina,Davidson,2007,44351.3
North Carolina,Davidson,2008,44087.97
North Carolina,Davidson,2009,45002.01
North Carolina,Davidson,2010,46727.08
North Carolina,Davidson,2011,47898.98
North Carolina,Davidson,2012,49684.85
North Carolina,Davidson,2013,50137.52
North Carolina,Davidson,2014,50688.88
North Carolina,Davidson,2015,50953.14
North Carolina,Davidson,2016,52164.99
North Carolina,Davidson,2017,53045.82
North Carolina,Davidson,2018,53825.2
North Carolina,Davidson,2019,54267.65
North Carolina,Davidson,2020,55243.02
North Carolina,Davidson,2021,56381.16
North Carolina,Davidson,2022,57811.68
North Carolina,Davidson,2023,58909.9
North Carolina,Davidson,2024,59793.69
North Carolina,Davie,2005,60332.06
North Carolina,Davie,2006,61410.39
North Carolina,Davie,2007,62239.1
North Carolina,Davie,2008,63384.23
North Carolina,Davie,2009,65191.96
North Carolina,Davie,2010,65854.95
North Carolina,Davie,2011,66125.58
North Carolina,Davie,2012,66400.44
North Carolina,Davie,2013,68403.27
North Carolina,Davie,2014,68454.3
North Carolina,Davie,2015,69249.93
North Carolina,Davie,2016,69928.03
North Carolina,Davie,2017,70879.0
North Carolina,Davie,2018,72512.02
North Carolina,Davie,2019,73857.26
North Carolina,Davie,2020,74996.71
North Carolina,Davie,2021,75933.96
North Carolina,Davie,2022,76406.28
North Carolina,Davie,2023,78438.16
North Carolina,Davie,2024,78878.06
North Carolina,Duplin,2005,51064.77
North Carolina,Duplin,2006,51875.75
North Carolina,Duplin,2007,52563.54
North Carolina,Duplin,2008,52952.63
North Carolina,Duplin,2009,54718.46
North Carolina,Duplin,2010,55625.04
North Carolina,Duplin,2011,56018.37
North Carolina,Duplin,2012,56766.07
North Carolina,Duplin,2013,57859.41
North Carolina,Duplin,2014,58295.29
North Carolina,Duplin,2015,59758.98
North Carolina,Duplin,2016,60230.01
North Carolina,Duplin,2017,61092.59
North Carolina,Duplin,2018,61725.44
North Carolina,Duplin,2019,62597.35
North Carolina,Duplin,2020,63271.81
North Carolina,Duplin,2021,63975.05
North Carolina,Duplin,2022,64961.01
North Carolina,Duplin,2023,65997.64
North Carolina,Duplin,2024,67526.99
North Carolina,Durham,2005,41373.28
North Carolina,Durham,2006,41527.66
North Carolina,Durham,2007,42486.3
North Carolina,Durham,2008,43627.7
North Carolina,Durham,2009,44472.92
North Carolina,Durham,2010,46144.23
North Carolina,Durham,2011,47718.46
North Carolina,Durham,2012,49493.41
North Carolina,Durham,2013,50881.63
North Carolina,Durham,2014,51769.74
North Carolina,Durham,2015,52237.14
North Carolina,Durham,2016,53609.51
North Carolina,Durham,2017,55127.3
North Carolina,Durham,2018,54814.12
North Carolina,Durham,2019,56689.99
North Carolina,Durham,2020,58487.16
North Carolina,Durham,2021,58645.62
North Carolina,Durham,2022,60526.18
North Carolina,Durham,2023,61866.25
North Carolina,Durham,2024,62679.34
North Carolina,Edgecombe,2005,52335.96
North Carolina,Edgecombe,2006,53127.69
North Carolina,Edgecombe,2007,53182.8
North Carolina,Edgecombe,2008,54509.06
North Carolina,Edgecombe,2009,55378.61
North Carolina,Edgecombe,2010,57037.37
North Carolina,Edgecombe,2011,57950.75
North Carolina,Edgecombe,2012,58924.58
North Carolina,Edgecombe,2013,59385.3
North Carolina,Edgecombe,2014,61320.42
North Carolina,Edgecombe,2015,62430.45
North Carolina,Edgecombe,2016,63362.99
North Carolina,Edgecombe,2017,63890.39
North Carolina,Edgecombe,2018,64242.13
North Carolina,Edgecombe,2019,65446.49
North Carolina,Edgecombe,2020,66592.0
North Carolina,Edgecombe,2021,67416.44
North Carolina,Edgecombe,2022,67713.9
North Carolina,Edgecombe,2023,67571.92
North Carolina,Edgecombe,2024,69359.12
North Carolina,Forsyth,2005,50201.14
North Carolina,Forsyth,2006,50810.22
North Carolina,Forsyth,2007,51864.95
North Carolina,Forsyth,2008,52547.9
North Carolina,Forsyth,2009,53792.48
North Carolina,Forsyth,2010,54451.21
North Carolina,Forsyth,2011,55704.6
North Carolina,Forsyth,2012,56185.23
North Carolina,Forsyth,2013,57653.21
North Carolina,Forsyth,2014,58738.17
North Carolina,Forsyth,2015,59561.76
North Carolina,Forsyth,2016,60898.5
North Carolina,Forsyth,2017,61883.64
North Carolina,Forsyth,2018,63779.66
North Carolina,Forsyth,2019,64463.75
North Carolina,Forsyth,2020,65493.49
North Carolina,Forsyth,2021,67034.36
North Carolina,Forsyth,2022,68010.35
North Carolina,Forsyth,2023,68846.31
North Carolina,Forsyth,2024,70170.38
North Carolina,Franklin,2005,58430.19
North Carolina,Franklin,2006,59555.2
North Carolina,Franklin,2007,59883.52
North Carolina,Franklin,2008,60500.35
North Carolina,Franklin,2009,61831.0
North Carolina,Franklin,2010,62276.62
North Carolina,Franklin,2011,63483.41
North Carolina,Franklin,2012,63482.52
North Carolina,Franklin,2013,63819.6
North Carolina,Franklin,2014,65102.12
North Carolina,Franklin,2015,65878.0
North Carolina,Franklin,2016,67191.24
North Carolina,Franklin,2017,68504.34
North Carolina,Franklin,2018,69495.86
North Carolina,Franklin,2019,69745.83
North Carolina,Franklin,2020,69656.09
North Carolina,Franklin,2021,70601.15
North Carolina,Franklin,2022,71095.42
North Carolina,Franklin,2023,72724.35
North Carolina,Franklin,2024,73929.62
North Carolina,Gaston,2005,42200.24
North Carolina,Gaston,2006,43250.79
North Carolina,Gaston,2007,44043.49
North Carolina,Gaston,2008,46016.59
North Carolina,Gaston,2009,46626.75
North Carolina,Gaston,2010,47892.18
North Carolina,Gaston,2011,49867.34
North Carolina,Gaston,2012,50872.31
North Carolina,Gaston,2013,52501.84
North Carolina,Gaston,2014,54332.1
North Carolina,Gaston,2015,54250.44
North Carolina,Gaston,2016,56441.47
North Carolina,Gaston,2017,57389.54
North Carolina,Gaston,2018,57776.94
North Carolina,Gaston,2019,59196.69
North Carolina,Gaston,2020,60303.95
North Carolina,Gaston,2021,62170.37
North Carolina,Gaston,2022,63110.78
North Carolina,Gaston,2023,63418.62
North Carolina,Gaston,2024,64720.55
North Carolina,Gates,2005,44504.23
North Carolina,Gates,2006,45914.32
North Carolina,Gates,2007,47136.84
North Carolina,Gates,2008,48261.3
North Carolina,Gates,2009,49267.37
North Carolina,Gates,2010,49633.3
North Carolina,Gates,2011,50115.29
North Carolina,Gates,2012,52426.83
North Carolina,Gates,2013,53610.71
North Carolina,Gates,2014,53928.83
North Carolina,Gates,2015,54939.52
